id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
26871219,1980057,Maria,Tempelhof - Schöneberg,Friedenau,52.4737739562988,13.3212652206421,Private room,32,7,3,1,4
1335109,7239678,Marie-Theres,Pankow,Helmholtzplatz,52.5429306030273,13.4229793548584,Entire home/apt,32,6,3,1,193
18614746,44504297,Mark,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4918136596680,13.4349031448364,Entire home/apt,32,58,1,1,280
27621598,77695541,Martin,Tempelhof - Schöneberg,Schöneberg-Süd,52.4862174987793,13.3430538177490,Private room,32,1,3,1,0
4173796,12611754,Matthias,Steglitz - Zehlendorf,Zehlendorf  Südwest,52.4253387451172,13.2255954742432,Private room,32,2,9,1,66
22198401,8278753,Mike,Mitte,Parkviertel,52.5487632751465,13.3523569107056,Entire home/apt,32,3,8,1,0
17328774,116727368,Minh,Lichtenberg,Alt-Lichtenberg,52.5191459655762,13.4854545593262,Private room,32,2,64,2,56
17489023,11678628,Mio & Jindra,Tempelhof - Schöneberg,Friedenau,52.4692382812500,13.3426647186279,Private room,32,2,47,1,77
6290808,28074836,Mirco,Neukölln,Schillerpromenade,52.4705390930176,13.4224205017090,Private room,32,14,6,1,0
19857169,40871414,Miriam,Steglitz - Zehlendorf,Zehlendorf  Nord,52.4570426940918,13.2649850845337,Entire home/apt,32,7,0,1,0
3947928,20448368,Mirjam,Neukölln,Schillerpromenade,52.4755516052246,13.4196414947510,Private room,32,3,10,2,308
17073288,97982588,Mischa,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4960060119629,13.3849639892578,Private room,32,2,4,1,0
28690325,34837006,Moritz,Mitte,Alexanderplatz,52.5220870971680,13.4049510955811,Private room,32,2,5,1,0
24861306,7083302,Moritz Johannes,Mitte,Moabit West,52.5333137512207,13.3323154449463,Private room,32,4,8,1,358
1564469,6815435,Nadine,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4957695007324,13.4235095977783,Entire home/apt,32,60,32,1,194
7692494,30846948,Nanette,Pankow,Prenzlauer Berg Süd,52.5325584411621,13.4274053573608,Entire home/apt,32,10,1,1,0
16966178,26066016,Nico,Treptow - Köpenick,Oberschöneweide,52.4635543823242,13.5228719711304,Private room,32,2,43,1,34
5321247,27570453,Nicola,Steglitz - Zehlendorf,Zehlendorf  Nord,52.4483718872070,13.2596902847290,Private room,32,3,98,1,337
7096507,37197450,Nicolas Alejandro,Mitte,Parkviertel,52.5544052124023,13.3453969955444,Private room,32,1,120,2,303
23900580,2796735,Nigel,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.5140724182129,13.3179206848145,Private room,32,2,12,1,65
26248904,6871103,Nina,Neukölln,Schillerpromenade,52.4724235534668,13.4250097274780,Private room,32,2,1,1,0
21138745,43178346,Nora,Mitte,Tiergarten Süd,52.5050315856934,13.3465776443481,Private room,32,2,52,1,0
2541764,8065564,Oliver,Pankow,Prenzlauer Berg Südwest,52.5328483581543,13.4108695983887,Private room,32,5,4,1,0
4237187,10636839,Oliver,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4979553222656,13.4482517242432,Private room,32,2,29,1,82
7430589,14074034,Pamina,Neukölln,Schillerpromenade,52.4824295043945,13.4226398468018,Private room,32,1,2,1,0
16420612,67561716,Pascal,Mitte,Alexanderplatz,52.5259094238281,13.3962717056274,Private room,32,1,5,1,0
20991220,16894316,Paul,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.5239372253418,13.4335508346558,Private room,32,1,7,3,5
21278009,16894316,Paul,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.5217170715332,13.4353275299072,Private room,32,1,37,3,0
21778414,16894316,Paul,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.5233917236328,13.4383249282837,Private room,32,1,15,3,0
20099505,26586931,Paula,Neukölln,Neuköllner Mitte/Zentrum,52.4667663574219,13.4344034194946,Private room,32,4,1,1,304
24405754,183389083,Peter,Reinickendorf,Nord 2,52.5810661315918,13.3425884246826,Private room,32,3,37,1,14
21653241,137042044,Philip,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.4991111755371,13.4624052047729,Private room,32,2,2,1,0
5293833,5367885,Philipp,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4972915649414,13.4253787994385,Private room,32,2,1,1,0
20042681,4786411,Pia,Neukölln,Rixdorf,52.4795646667480,13.4490175247192,Private room,32,3,2,1,5
11782446,62738471,Rafael,Neukölln,Neuköllner Mitte/Zentrum,52.4676017761230,13.4326105117798,Private room,32,1,300,2,297
8745931,45878344,Ramon,Neukölln,Rixdorf,52.4818763732910,13.4407911300659,Entire home/apt,32,7,9,1,0
11432020,7867862,Rebecca,Neukölln,Rixdorf,52.4830245971680,13.4441442489624,Private room,32,1,0,1,0
25822892,115817102,Reham,Mitte,Parkviertel,52.5532608032227,13.3463411331177,Private room,32,1,19,1,164
7239913,20117676,Rhea,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4963531494141,13.4473867416382,Private room,32,2,29,1,4
21733269,39823090,Ricardo,Pankow,Prenzlauer Berg Ost,52.5342788696289,13.4416961669922,Entire home/apt,32,25,0,1,0
4190821,21742505,Rita,Neukölln,Reuterstraße,52.4855003356934,13.4286861419678,Private room,32,4,13,1,0
16437500,52018333,Rita,Treptow - Köpenick,Alt  Treptow,52.4899520874023,13.4496803283691,Entire home/apt,32,2,11,1,16
13218631,52296044,Sabine,Charlottenburg-Wilm.,Kantstraße,52.5097427368164,13.3093261718750,Private room,32,2,141,1,139
13704364,79000226,Sabine,Mitte,Tiergarten Süd,52.5044059753418,13.3572549819946,Private room,32,21,5,1,220
8236358,43432906,Sabrina,Neukölln,Neuköllner Mitte/Zentrum,52.4839248657227,13.4281930923462,Private room,32,7,0,1,0
19958439,24620790,Sami,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.5192413330078,13.3173952102661,Private room,32,2,129,2,8
18392737,127402646,Samir,Neukölln,Reuterstraße,52.4818077087402,13.4383049011230,Private room,32,1,0,1,0
29676686,158897225,Samuel,Mitte,Moabit West,52.5243988037109,13.3355064392090,Private room,32,1,0,2,168
6875558,36030245,Sebastian,Mitte,Wedding Zentrum,52.5559577941895,13.3712253570557,Private room,32,1,2,1,0
9801017,5118330,Sebastian,Neukölln,Neuköllner Mitte/Zentrum,52.4697990417480,13.4318637847900,Private room,32,1,1,1,0
19824259,36956627,Selina,Lichtenberg,Neu Lichtenberg,52.5038948059082,13.4911613464355,Private room,32,2,1,1,0
4028925,9928638,Sergio,Treptow - Köpenick,Baumschulenweg,52.4682693481445,13.4878368377686,Private room,32,28,16,2,0
4214436,21871253,Shao-Xi,Pankow,Pankow Süd,52.5623817443848,13.4096059799194,Private room,32,6,2,1,0
